stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Miguel\Desktop\Transformice\Debug\allegro5.cfg r
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Miguel\Desktop\Transformice\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00023] Also searching C:\Users\Miguel\Desktop\Transformice\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00036] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00037] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00164] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.02981] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.03057] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.03059] al_display=02A568C8
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.03061] al_display->vt=00D23E28
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03472] found 160 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.03475] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03477] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03478] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03480] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03481] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03483] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.03484] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03486] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.03487] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03489] Score is : 717
